# Revenue-mix extraction TODO — auto-generated
# Generated:        2026-06-19T06:50:25.330Z
# Stale threshold:  365 days
# Universe total:   503
# Skipped (fresh):  27
# Skipped (no BSE): 3
# Priority breakdown:
#   1 — SPIP STRONG BUY (NEW): 34
#   2 — SPIP BUY (NEW):        110
#   3 — Other NEW:             329
#   4 — STALE (>365d):           0
# Routine processes TOP 10 rows per daily run.
#
# Format: Company Name, BSECode
Jindal Stain., 532508
Shree Cement, 500387
L&T Finance Ltd, 533519
Vinati Organics, 524200
UltraTech Cem., 532538
Power Fin.Corpn., 532810
L T Foods, 532783
Punjab Natl.Bank, 532461
Vishal Mega Mart, 544307
Tata Consumer, 500800
Godfrey Phillips, 500163
Natco Pharma, 524816
Motil.Oswal.Fin., 532892
Persistent Systems, 533179
ERIS Lifescience, 540596
PB Fintech., 543390
Gillette India, 507815
M & M, 500520
Kalyan Jewellers, 543278
Aditya Birla Cap, 540691
Poly Medicure, 531768
Abbott India, 500488
Bajaj Finserv, 532978
KFin Technolog., 543720
Affle 3i, 542752
SRF, 503806
I O B, 532388
TVS Motor Co., 532343
Aptus Value Hou., 543335
Avanti Feeds, 512573
Gujarat Gas, 539336
Brigade Enterpr., 532929
Sundram Fasten., 500403
Tega Inds., 543413
Kotak Mah. Bank, 500247
Supreme Inds., 509930
Dr Reddy's Labs, 500124
Bajaj Holdings, 500490
Grasim Inds, 500300
C D S L, 201232
Lenskart Solut., 544600
Prestige Estates, 533274
Max Financial, 500271
Aegis Vopak Term, 544407
IDFC First Bank, 539437
Dabur India, 500096
AWL Agri Busine., 543458
Lodha Developers, 543287
S A I L, 500113
Wockhardt, 532300
Sobha, 532784
eClerx Services, 532927
Paradeep Phosph., 543530
ITC Hotels, 544325
H P C L, 500104
Escorts Kubota, 500495
Metro Brands, 543426
Amara Raja Ener., 509563
Havells India, 517354
Colgate-Palmoliv, 500830
CRISIL, 500092
New India Assura, 540769
Motherson Wiring, 543498
Mphasis, 526299
REC Ltd, 532955
ITI, 523610
Chalet Hotels, 542399
O N G C, 500312
Ambuja Cements, 500425
P & G Hygiene, 500459
Cochin Shipyard, 540678
PTC Industries, 539006
Hindustan Zinc, 500188
Cipla, 500087
Tata Power Co., 500400
IFCI, 500106
Tenneco Clean, 544612
I R C T C, 542830
Century Plyboard, 532548
LMW, 500252
NHPC Ltd, 533098
Bharti Hexacom, 544162
Oil India, 533106
PNB Housing, 540173
Vardhman Textile, 502986
Sun TV Network, 532733
DLF, 532868
Manappuram Fin., 531213
Info Edg.(India), 532777
Tata Motors, 500570
Bayer Crop Sci., 506285
Bajaj Housing, 544252
Pfizer, 500680
Firstsour.Solu., 532809
Ather Energy, 544397
Adani Green, 541450
SBI Life Insuran, 540719
Canara Bank, 532483
Vedanta, 500295
Eternal, 543320
Five-Star Bus.Fi, 543663
Bharat Dynamics, 541143
M R P L, 500109
Hatsun Agro, 531531
IIFL Finance, 532636
Bandhan Bank, 541153
Krishna Institu., 543308
Piramal Finance., 544597
KEC International, 532714
Anant Raj, 515055
ICICI Pru Life, 540133
HDFC Bank, 500180
Physicswallah, 544609
Balkrishna Inds, 502355
Reliance Industries, 500325
Vodafone Idea, 532822
Jubilant Food., 533155
Chola Financial, 504973
ITC, 500875
Godrej Consumer, 532424
General Insuranc, 540755
Tata Inv.Corpn., 501301
Infosys, 500209
Tech Mahindra, 532755
Dalmia BharatLtd, 542216
L&T Technology, 540115
P I Industries, 523642
Muthoot Finance, 533398
Sundaram Finance, 590071
Sammaan Capital, 535789
Authum Invest, 539177
Jio Financial, 543940
Sagility, 544282
Patanjali Foods, 500368
KPIT Technologi., 542651
KIOCL, 540680
Astrazeneca Phar, 506820
IndiGrid Trust, 540565
ACC, 500410
Sumitomo Chemi., 542920
Kaynes Tech, 543664
Kansai Nerolac, 500165
TVS Holdings, 532343
Anupam Rasayan, 543275
EID Parry, 500125
Graphite India, 509488
Emami, 531162
Poonawalla Fin, 524000
Urban Company, 537582
HCL Technologies, 532281
Container Corpn., 531344
Godrej Industrie, 500164
DCM Shriram, 523367
HDFC Life Insur., 540777
Inox Wind, 539083
Altius Telecom, 543225
Godrej Propert., 533150
Fractal Analyt., 544700
HDB FINANC SER, 544429
Adani Enterp., 512599
Central Bank, 532885
United Breweries, 532478
IndusInd Bank, 532187
Brookfield India, 543261
I R F C, 543257
Tata Elxsi, 500408
Jubilant Pharmo, 530019
Sterlite Tech., 532374
M & M Fin. Serv., 532720
Rail Vikas, 542649
UCO Bank, 532505
Mah. Scooters, 500266
Go Digit General, 544179
Wipro, 507685
LTM, 540005
SBI Cards, 543066
NMDC Steel, 543768
Hexaware Tech., 544362
JP Power Ven., 532627
IDBI Bank, 500116
Asahi India Glas, 515030
Ventive Hospital, 512375
F A C T, 590024
TCS, 532540
NTPC Green Ene., 544289
Dr Agarwal's Hea, 544350
Embassy Off.REIT, 542602
One 97, 543396
BASF India, 500042
UPL, 512070
The Ramco Cement, 500260
Mindspace Busine, 543217
Interglobe Aviat, 539448
BEML Ltd, 500048
Prime Focus, 532748
Syngene Intl., 539268
Ashok Leyland, 500477
Nexus Select, 543913
Tata Motors PVeh, 500570
Swiggy, 544285
Pine Labs, 544606
Ircon Intl., 541956
Indian Renewable, 544026
Clean Max Enviro, 544717
Devyani Intl., 543330
Cohance Life, 543064
Pun. & Sind Bank, 533295
OneSource Speci., 530805
Tata Chemicals, 500770
SJVN, 533206
Piramal Pharma, 543635
Meesho, 544632
Bharat Coking, 544678
Ola Electric, 544225
JSW Holdings, 532642
A B Real Estate, 500040
Central Mine Pla, 544739
Bagmane Prime REIT, 544758
N S D L, 544467
Vertis Infra., 202033
Cube Highways, 543899
National High, 543385
Knowledge Realty, 544481
